"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","regionflow_2016","regionflow_2017","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","countryflow_2016","countryflow_2017","origin_show","destination_show"
12,Basel-Stadt,103,SA - Lateinamerika,63,54,46,91,63,33,82,73,58,81,56,56,42,1,Altstadt Grossbasel,Chile,Chile,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,105,AS - Asien,108,125,115,81,109,88,126,106,128,109,119,99,91,1,Altstadt Grossbasel,China,China,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,Deutschland,Deutschland,5,5,3,2,1,4,1,9,5,2,2,4,6,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,FR,FR,0,1,0,2,1,2,1,0,0,0,0,0,1,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,Frankreich,Frankreich,0,1,2,0,6,0,2,2,4,0,3,2,2,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,GE,GE,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,GL,GL,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,GR,GR,1,1,0,2,2,1,3,1,1,3,0,0,0,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,Griechenland,Griechenland,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,105,AS - Asien,108,125,115,81,109,88,126,106,128,109,119,99,91,1,Altstadt Grossbasel,Indonesien,Indonesien,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
12,Basel-Stadt,105,AS - Asien,108,125,115,81,109,88,126,106,128,109,119,99,91,1,Altstadt Grossbasel,Israel,Israel,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,Italien,Italien,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,JU,JU,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1
12,Basel-Stadt,103,SA - Lateinamerika,63,54,46,91,63,33,82,73,58,81,56,56,42,1,Altstadt Grossbasel,Kolumbien,Kolumbien,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,LU,LU,10,4,4,3,0,3,2,3,0,2,1,2,7,1,1
12,Basel-Stadt,103,SA - Lateinamerika,63,54,46,91,63,33,82,73,58,81,56,56,42,1,Altstadt Grossbasel,Mexiko,Mexiko,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,NE,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,NW,NW,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1
12,Basel-Stadt,106,O - Australien,32,26,28,48,19,28,22,20,24,23,22,30,35,1,Altstadt Grossbasel,Neuseeland,Neuseeland,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,Niederlande,Niederlande,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
